Time	Pass	Fail	Pwd Exp	Max	Avg	Total	Tput	Resp
07-14-16:27:00	0	0	0	0.000	0	0	0	0
07-14-16:28:00	0	0	0	0.000	0	0	0	0
07-14-16:29:00	0	0	0	0.000	0	0	0	0
07-14-16:30:00	0	0	0	0.000	0	0	0	0
07-14-16:31:00	0	0	0	0.000	0	0	0	0
07-14-16:32:00	0	0	0	0.000	0	0	0	0
07-14-16:33:00	0	0	0	0.000	0	0	0	0
07-14-16:34:00	0	0	0	0.000	0	0	0	0
07-14-16:35:00	0	0	0	0.000	0	0	0	0
07-14-16:36:00	0	0	0	0.000	0	0	0	0
07-14-16:37:00	0	0	0	0.000	0	0	0	0
07-14-16:38:00	0	0	0	0.000	0	0	0	0
07-14-16:39:00	0	0	0	0.000	0	0	0	0
07-14-16:40:00	0	0	0	0.000	0	0	0	0
07-14-16:41:00	0	0	0	0.000	0	0	0	0
07-14-16:42:00	0	0	0	0.000	0	0	0	0
07-14-16:43:00	0	0	0	0.000	0	0	0	0
07-14-16:44:00	0	0	0	0.000	0	0	0	0
07-14-16:45:00	1	0	0	0.015	0.015	0.015	0.017	0.015
07-14-16:46:00	0	0	0	0.015	0.015	0	0	0
07-14-16:47:00	0	0	0	0.015	0.015	0	0	0
07-14-16:48:00	0	0	0	0.015	0.015	0	0	0
07-14-16:49:00	0	0	0	0.015	0.015	0	0	0
07-14-16:50:00	0	0	0	0.015	0.015	0	0	0
07-14-16:51:00	0	0	0	0.015	0.015	0	0	0
07-14-16:52:00	0	0	0	0.015	0.015	0	0	0
07-14-16:53:00	6	0	0	0.015	0.003	0.012	0.100	0.002
07-14-16:54:00	22	0	0	0.015	0.002	0.033	0.367	0.002
07-14-16:55:00	17	0	0	0.015	0.001	0.028	0.283	0.002
07-14-16:56:00	7	0	0	0.015	0.001	0.012	0.117	0.002
07-14-16:57:00	21	0	0	0.015	0.001	0.034	0.350	0.002
07-14-16:58:00	22	0	0	0.015	0.001	0.033	0.367	0.002
07-14-16:59:00	22	0	0	0.015	0.001	0.037	0.367	0.002
07-14-17:00:00	21	0	0	0.015	0.001	0.032	0.350	0.002
07-14-17:01:00	19	0	0	0.015	0.001	0.037	0.317	0.002
07-14-17:02:00	22	0	0	0.015	0.001	0.043	0.367	0.002
07-14-17:03:00	20	0	0	0.015	0.001	0.038	0.333	0.002
07-14-17:04:00	21	0	0	0.015	0.001	0.04	0.350	0.002
07-14-17:05:00	20	0	0	0.015	0.001	0.049	0.333	0.002
07-14-17:06:00	20	0	0	0.015	0.001	0.05	0.333	0.002
07-14-17:07:00	20	0	0	0.015	0.001	0.043	0.333	0.002
07-14-17:08:00	21	0	0	0.015	0.001	0.0439999999999999	0.350	0.002
07-14-17:09:00	21	0	0	0.015	0.001	0.038	0.350	0.002
07-14-17:10:00	20	0	0	0.015	0.001	0.0580000000000001	0.333	0.003
07-14-17:11:00	19	0	0	0.015	0.001	0.0449999999999999	0.317	0.002
07-14-17:12:00	20	0	0	0.051	0.002	0.0860000000000001	0.333	0.004
07-14-17:13:00	19	0	0	0.051	0.002	0.0429999999999999	0.317	0.002
