2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.authn statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-16:27:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:27:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:27:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:27:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:27:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:28:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:28:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:28:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:28:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:28:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:28:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:29:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:29:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:29:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:29:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:29:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:29:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:30:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:30:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:30:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:30:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:30:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:30:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:31:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:31:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:31:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:31:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:31:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:31:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:32:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:32:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:32:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:32:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:32:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:32:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:33:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:33:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:33:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:33:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:33:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:33:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:34:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:34:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:34:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:34:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:34:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:34:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:35:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:35:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:35:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:35:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:35:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:35:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:36:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:36:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:36:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:36:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:36:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:36:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:37:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:37:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:37:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:37:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:37:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:37:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:38:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:38:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:38:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:38:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:38:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:38:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:39:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:39:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:39:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:39:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:39:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:39:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:40:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:40:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:40:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:40:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:40:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:40:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:41:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:41:00.000-06:00I----- pdweb.authn pass	 : 0
2010-07-14-16:41:00.000-06:00I----- pdweb.authn fail	 : 0
2010-07-14-16:41:00.000-06:00I----- pdweb.authn pwd exp	 : 0
2010-07-14-16:41:00.000-06:00I----- pdweb.authn max	 : 0.000
2010-07-14-16:41:00.000-06:00I----- pdweb.authn total	 : 0.000
2010-07-14-16:42:00.000-06:00I----- HPDRA0387I   pdweb.authn statistics report
2010-07-14-16:42:00.000-06:00I----- pdweb.authn pass	 : 0
