2010-07-14-16:27:00.000-06:00I----- HPDRA0386I   pdweb.http statistics report (partial period commencing 2010-07-14-16:27:00.000-06:00I-----)
2010-07-14-16:27:00.000-06:00I----- pdweb.http reqs	 : 0
2010-07-14-16:27:00.000-06:00I----- pdweb.http max-worker	 : 0.000
2010-07-14-16:27:00.000-06:00I----- pdweb.http total-worker	 : 0.000
2010-07-14-16:27:00.000-06:00I----- pdweb.http max-webseal	 : 0.000
2010-07-14-16:27:00.000-06:00I----- pdweb.http total-webseal	 : 0.000
2010-07-14-16:28:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:28:00.000-06:00I----- pdweb.http reqs	 : 0
2010-07-14-16:28:00.000-06:00I----- pdweb.http max-worker	 : 0.000
2010-07-14-16:28:00.000-06:00I----- pdweb.http total-worker	 : 0.000
2010-07-14-16:28:00.000-06:00I----- pdweb.http max-webseal	 : 0.000
2010-07-14-16:28:00.000-06:00I----- pdweb.http total-webseal	 : 0.000
2010-07-14-16:29:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:29:00.000-06:00I----- pdweb.http reqs	 : 4
2010-07-14-16:29:00.000-06:00I----- pdweb.http max-worker	 : 0.231
2010-07-14-16:29:00.000-06:00I----- pdweb.http avg-worker	 : 0.082
2010-07-14-16:29:00.000-06:00I----- pdweb.http total-worker	 : 0.331
2010-07-14-16:29:00.000-06:00I----- pdweb.http max-webseal	 : 0.222
2010-07-14-16:29:00.000-06:00I----- pdweb.http avg-webseal	 : 0.080
2010-07-14-16:29:00.000-06:00I----- pdweb.http total-webseal	 : 0.322
2010-07-14-16:30:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:30:00.000-06:00I----- pdweb.http reqs	 : 6
2010-07-14-16:30:00.000-06:00I----- pdweb.http max-worker	 : 22.415
2010-07-14-16:30:00.000-06:00I----- pdweb.http avg-worker	 : 3.914
2010-07-14-16:30:00.000-06:00I----- pdweb.http total-worker	 : 23.488
2010-07-14-16:30:00.000-06:00I----- pdweb.http max-webseal	 : 22.415
2010-07-14-16:30:00.000-06:00I----- pdweb.http avg-webseal	 : 3.913
2010-07-14-16:30:00.000-06:00I----- pdweb.http total-webseal	 : 23.479
2010-07-14-16:31:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:31:00.000-06:00I----- pdweb.http reqs	 : 7
2010-07-14-16:31:00.000-06:00I----- pdweb.http max-worker	 : 22.415
2010-07-14-16:31:00.000-06:00I----- pdweb.http avg-worker	 : 3.914
2010-07-14-16:31:00.000-06:00I----- pdweb.http total-worker	 : 23.488
2010-07-14-16:31:00.000-06:00I----- pdweb.http max-webseal	 : 22.415
2010-07-14-16:31:00.000-06:00I----- pdweb.http avg-webseal	 : 3.913
2010-07-14-16:31:00.000-06:00I----- pdweb.http total-webseal	 : 23.479
2010-07-14-16:32:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:32:00.000-06:00I----- pdweb.http reqs	 : 7
2010-07-14-16:32:00.000-06:00I----- pdweb.http max-worker	 : 22.415
2010-07-14-16:32:00.000-06:00I----- pdweb.http avg-worker	 : 3.914
2010-07-14-16:32:00.000-06:00I----- pdweb.http total-worker	 : 23.488
2010-07-14-16:32:00.000-06:00I----- pdweb.http max-webseal	 : 22.415
2010-07-14-16:32:00.000-06:00I----- pdweb.http avg-webseal	 : 3.913
2010-07-14-16:32:00.000-06:00I----- pdweb.http total-webseal	 : 23.479
2010-07-14-16:33:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:33:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:33:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:33:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:33:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:33:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:33:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:33:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:34:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:34:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:34:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:34:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:34:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:34:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:34:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:34:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:35:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:35:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:35:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:35:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:35:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:35:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:35:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:35:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:36:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:36:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:36:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:36:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:36:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:36:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:36:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:36:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:37:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:37:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:37:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:37:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:37:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:37:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:37:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:37:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:38:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:38:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:38:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:38:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:38:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:38:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:38:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:38:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:39:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:39:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:39:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:39:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:39:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:39:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:39:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:39:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:40:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:40:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:40:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:40:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:40:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:40:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:40:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:40:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:41:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:41:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:41:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:41:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:41:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:41:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:41:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:41:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:42:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:42:00.000-06:00I----- pdweb.http reqs	 : 8
2010-07-14-16:42:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:42:00.000-06:00I----- pdweb.http avg-worker	 : 20.284
2010-07-14-16:42:00.000-06:00I----- pdweb.http total-worker	 : 2:42.278
2010-07-14-16:42:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:42:00.000-06:00I----- pdweb.http avg-webseal	 : 20.283
2010-07-14-16:42:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.269
2010-07-14-16:43:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:43:00.000-06:00I----- pdweb.http reqs	 : 10
2010-07-14-16:43:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:43:00.000-06:00I----- pdweb.http avg-worker	 : 16.243
2010-07-14-16:43:00.000-06:00I----- pdweb.http total-worker	 : 2:42.439
2010-07-14-16:43:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:43:00.000-06:00I----- pdweb.http avg-webseal	 : 16.243
2010-07-14-16:43:00.000-06:00I----- pdweb.http total-webseal	 : 2:42.430
2010-07-14-16:44:00.000-06:00I----- HPDRA0387I   pdweb.http statistics report
2010-07-14-16:44:00.000-06:00I----- pdweb.http reqs	 : 16
2010-07-14-16:44:00.000-06:00I----- pdweb.http max-worker	 : 2:17.900
2010-07-14-16:44:00.000-06:00I----- pdweb.http avg-worker	 : 10.160
2010-07-14-16:44:00.000-06:00I----- pdweb.http total-worker	 : 2:42.569
2010-07-14-16:44:00.000-06:00I----- pdweb.http max-webseal	 : 2:17.900
2010-07-14-16:44:00.000-06:00I----- pdweb.http avg-webseal	 : 10.160
